Nome do novo protocolo,Dominio
DecFL,P2P
ACP+,IoT
Bifrost,Geral
Kadcast,blockchain
Protocolo de Camada MAC Full-Duplex Assíncrono In-band Baseado em CSMA/CA (Asynchronous In-band Full-Duplex MAC Layer Protocol Based on CSMA/CA),MAC
Hydra,Wireless
Power-Controlled RPL,IoT
Protocolo de Internet Tátil de Multi-conexão (MTIP),CDN
Hermes,IoT
ENTRUST,IoT
TCPLS (Modern Transport Services with TCP and TLS),Geral
IP-agnostic,IoT
Time-division TCP (TDTCP),Geral
MINI-FLOW,Wireless
QUIC BBR,Geral
"ASMesh (Anonymous and Secure Messaging in Mesh Networks Using Stronger, Anonymous Double Ratchet)",Geral
BURST (Bladerunner Unified Request Stream Transport),Data center
HovercRaft++,Geral
Protocolo de Transmissão Meteorológica Variável Versão 2 (VMTPv2),IoT
"lightweight
inter-satellite network protocol (LSNP protocol)",Inter-satellite
Distributed Network Protocol 3 (DNP3),Geral
protocol stack,MAC
WiPoTS,Wireless
hIoT(Adaptive Hybrid Application Protocol for IoT),IoT
PARSECS_RT,IoT
